NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1148,서울특별시 강남구 역삼동,736-22,0736,0022,메이플라워멤버스빌오피스텔,20.1,202408,26,"13,500",5,개인,개인,2006,테헤란로20길 15,-,중개거래,서울 강남구
1149,서울특별시 강남구 삼성동,158-10,0158,0010,마젤란21아스테리움,89.56,202408,26,"136,500",6,법인,개인,2006,테헤란로87길 17,-,중개거래,서울 강남구
1150,서울특별시 강남구 논현동,6월 21일,0006,0021,세양 APEX-TOWER,26.91,202408,26,"26,000",15,개인,개인,2003,도산대로 158,-,중개거래,서울 서초구
1151,서울특별시 강남구 도곡동,467-24,0467,0024,우성캐릭터199,45.93,202408,26,"42,000",14,법인,개인,1998,언주로 118,-,중개거래,서울 강남구
1152,서울특별시 송파구 잠실동,175-1,0175,0001,위너스오피스텔II,29.16,202408,26,"25,000",8,법인,개인,1991,백제고분로 67,-,중개거래,"서울 송파구, 서울 중구"
1153,서울특별시 송파구 문정동,652-4,0652,0004,힐스테이트에코문정,20.79,202408,26,"19,850",12,개인,개인,2018,법원로4길 10,-,중개거래,서울 송파구
1154,서울특별시 송파구 문정동,618,0618,0000,파크하비오,27.29,202408,26,"22,300",19,개인,개인,, ,-,중개거래,서울 송파구
1155,서울특별시 송파구 방이동,Mar.40,0040,0003,올림픽파크뷰,26.43,202408,26,"20,500",2,개인,개인,2004,올림픽로 374,-,중개거래,서울 송파구
1156,서울특별시 송파구 방이동,May.49,0049,0005,올림픽파크존오피스텔,25.78,202408,26,"11,000",6,개인,개인,2002,오금로11길 59,-,직거래,-
1157,서울특별시 송파구 방이동,Mar.40,0040,0003,올림픽파크뷰,26.43,202408,26,"20,500",2,개인,개인,2004,올림픽로 374,20240902,중개거래,서울 송파구
1158,부산광역시 해운대구 우동,1435-3,1435,0003,한일오르듀,72.4111,202408,26,"24,500",5,개인,개인,2005,마린시티3로 37,-,중개거래,부산 해운대구
1159,부산광역시 사하구 하단동,604-9,0604,0009,(604-9),53.02,202408,26,"26,400",5,법인,법인,2020,동매로23번길 14,-,직거래,-
1160,대구광역시 달성군 다사읍 죽곡리,210,0210,0000,주건축물제1동(210-0),28.9925,202408,26,"7,000",7,개인,개인,2014,죽곡1길 10,-,중개거래,대구 달성군
1161,인천광역시 중구 신흥동3가,7-308,0007,0308,정광씨팰리스,25.48,202408,26,"5,700",13,개인,개인,2003,인항로 6,-,중개거래,"서울 종로구, 인천 중구"
1162,인천광역시 중구 운서동,Feb.94,3094,0002,더 예스 포레스트,21.03,202408,26,"10,700",4,기타,기타,2022,흰바위로 113,-,중개거래,인천 중구
1163,인천광역시 미추홀구 숭의동,302-1,0302,0001,해찬솔 5차,73.45,202408,26,"13,700",7,개인,법인,2013,11,-,직거래,-
1164,인천광역시 미추홀구 주안동,24-51,0024,0051,(24-51),14.24,202408,26,"7,400",3,개인,개인,2017, 59-13,-,중개거래,인천 미추홀구
1165,인천광역시 연수구 송도동,149,0149,0000,롯데캐슬 캠퍼스타운,29.8257,202408,26,"14,360",15,개인,개인,2016,송도과학로27번길 55,-,직거래,-
1166,인천광역시 남동구 구월동,1132-6,1132,0006,DS더웰가,65.85,202408,26,"16,200",5,개인,개인,2016,예술로204번길 27,-,중개거래,인천 남동구
1167,인천광역시 남동구 구월동,1608,1608,0000,신영구월지웰시티푸르지오,29.7603,202408,26,"17,300",8,개인,개인,2020, ,-,중개거래,인천 남동구
1168,인천광역시 남동구 간석동,617-112,0617,0112,코쿠닝 60,71.45,202408,26,"17,000",6,개인,개인,2017, ,-,중개거래,인천 남동구
1169,인천광역시 부평구 부평동,341-88,0341,0088,하임스토리,71.42,202408,26,"17,500",4,개인,개인,2017,부평문화로16번길 13,-,중개거래,인천 부평구
1170,인천광역시 부평구 부평동,746-2,0746,0002,트인레뷰,84.69,202408,26,"20,500",5,개인,개인,2015, ,-,중개거래,인천 부평구
1171,인천광역시 부평구 십정동,182-19,0182,0019,파크타운1차,59.77,202408,26,"16,000",3,개인,개인,2016,백운로 53,20240905,중개거래,인천 부평구
1172,인천광역시 부평구 십정동,182-19,0182,0019,파크타운1차,59.77,202408,26,"16,000",3,개인,개인,2016,백운로 53,-,중개거래,인천 부평구
1173,인천광역시 계양구 계산동,1083-2,1083,0002,대우마이빌,31.23,202408,26,"6,500",6,개인,개인,2002,오조산로 41,-,중개거래,인천 계양구
1174,인천광역시 서구 청라동,167-29,0167,0029,청라 디오스텔,19.57,202408,26,"8,200",3,개인,개인,2018,청라에메랄드로76번길 7,-,중개거래,서울 금천구
1175,광주광역시 광산구 월계동,879-4,0879,0004,(879-4),23.1484,202408,26,"4,607",2,법인,법인,2016,첨단중앙로106번길 65-12,-,직거래,-
